0,92,185,277,369,461,553,645,737,828,
919,1009,1100,1190,1279,1368,1457,1545,1633,1720,
1806,1892,1977,2062,2146,2229,2311,2393,2473,2553,
2632,2710,2787,2864,2939,3013,3086,3159,3230,3300,
3368,3436,3503,3568,3632,3695,3757,3817,3876,3934,
3990,4045,4099,4151,4202,4251,4299,4345,4390,4434,
4476,4516,4555,4592,4628,4662,4695,4726,4755,4783,
4809,4834,4856,4878,4897,4915,4931,4945,4958,4969,
4979,4986,4992,4997,4999,5000,4999,4997,4992,4986,
4979,4969,4958,4945,4931,4915,4897,4878,4856,4834,
4809,4783,4755,4726,4695,4662,4628,4592,4555,4516,
4476,4434,4390,4345,4299,4251,4202,4151,4099,4045,
3990,3934,3876,3817,3757,3695,3632,3568,3503,3436,
3368,3300,3230,3159,3086,3013,2939,2864,2787,2710,
2632,2553,2473,2393,2311,2229,2146,2062,1977,1892,
1806,1720,1633,1545,1457,1368,1279,1190,1100,1009,
919,828,737,645,553,461,369,277,185,92,0
